Year,Month,Region,Province/HUC/ICC,Cases
2017,2,NCR,CITY OF MAKATI,34
2017,2,NCR,CITY OF MALABON,26
2017,2,NCR,CITY OF MANDALUYONG,21
2017,2,NCR,CITY OF MANILA,151
2017,2,NCR,CITY OF MARIKINA,35
2017,2,NCR,CITY OF MUNTINLUPA,22
2017,2,NCR,CITY OF NAVOTAS,18
2017,2,NCR,CITY OF PARAÑAQUE,91
2017,2,NCR,CITY OF PASIG,70
2017,2,NCR,CITY OF SAN JUAN,10
2017,2,NCR,CITY OF VALENZUELA,41
2017,2,NCR,PASAY CITY,10
2017,2,NCR,PATEROS,2
2017,2,NCR,QUEZON CITY,391
2017,2,NCR,TAGUIG CITY,44
2017,3,1,DAGUPAN CITY,15
2017,3,1,ILOCOS NORTE,9
2017,3,1,ILOCOS SUR,29
2017,3,1,LA UNION,33
2017,3,1,PANGASINAN,72
2017,3,2,CAGAYAN,38
2017,3,2,CITY OF SANTIAGO,2
2017,3,2,ISABELA,68
2017,3,2,NUEVA VIZCAYA,13
2017,3,2,QUIRINO,12
2017,3,3,ANGELES CITY,55
2017,3,3,AURORA,20
2017,3,3,BATAAN,126
2017,3,3,BULACAN,252
2017,3,3,NUEVA ECIJA,59
2017,3,3,OLONGAPO CITY,27
2017,3,3,PAMPANGA,279
2017,3,3,TARLAC,73
2017,3,3,ZAMBALES,54
2017,3,5,ALBAY,10
2017,3,5,CAMARINES NORTE,8
2017,3,5,CAMARINES SUR,26
2017,3,5,CATANDUANES,5
2017,3,5,MASBATE,5
2017,3,5,NAGA CITY,47
2017,3,5,SORSOGON,10
2017,3,6,AKLAN,46
2017,3,6,ANTIQUE,10
2017,3,6,BACOLOD CITY,43
2017,3,6,CAPIZ,12
2017,3,6,GUIMARAS,1
2017,3,6,ILOILO,39
2017,3,6,ILOILO CITY,8
2017,3,6,NEGROS OCCIDENTAL,162
2017,3,7,BOHOL,59
2017,3,7,CEBU,398
2017,3,7,CEBU CITY,219
2017,3,7,LAPU-LAPU CITY (OPON),49
2017,3,7,MANDAUE CITY,73
2017,3,7,NEGROS ORIENTAL,141
2017,3,7,SIQUIJOR,4
2017,3,8,BILIRAN,41
2017,3,8,EASTERN SAMAR,20
2017,3,8,LEYTE,114
2017,3,8,NORTHERN SAMAR,6
